name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Nicosia,2018-02-21,19.6,7.9,12.2,19.6,7.7,12.1,8.7,81.7,6.613,100,12.5,rain,0,0,,15.1,337.9,1012.7,61.4,9.9,198.2,17.1,7,,2018-02-21T06:26:15,2018-02-21T17:34:33,0.2,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"17530099999,17510099999,17607499999,17505099999,17609099999,17515099999,17535099999"
Nicosia,2018-02-22,18.9,7.4,13.1,18.9,5.6,12.9,10.2,83.2,0,0,0,,0,0,,11.1,140.3,1011.7,41,9.7,147.4,12.6,5,,2018-02-22T06:25:04,2018-02-22T17:35:29,0.23,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"17530099999,17540099999,LCEN,17510099999,17601099999,17607499999,17500099999,17505099999,17609099999,17515099999"
Nicosia,2018-02-23,18.7,7.2,12,18.7,6.4,11.9,9.7,86.6,4.612,100,16.67,rain,0,0,,5.6,266.6,1009.8,46.6,9.1,177,15.3,6,,2018-02-23T06:23:52,2018-02-23T17:36:25,0.25,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"LCEN,17540099999,17510099999,17601099999,17607499999,17500099999,17609099999,17515099999"
Nicosia,2018-02-24,19.6,5.5,11.5,19.6,5.4,11.2,7.4,77.6,0.04,100,8.33,rain,0,0,,19.7,230.2,1012,46.1,10,177.4,15.2,6,,2018-02-24T06:22:39,2018-02-24T17:37:21,0.3,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"LCEN,17530099999,17510099999,17601099999,17607499999,17505099999,17609099999,17515099999,17535099999"
Nicosia,2018-02-25,16.8,8.4,12.8,16.8,8.4,12.8,7.9,74.4,3.03,100,8.33,rain,0,0,,38,232.1,1009.7,61.9,9.6,183.2,15.8,8,,2018-02-25T06:21:26,2018-02-25T17:38:16,0.34,"Rain, Partially cloudy",Clearing in the afternoon with rain in the morning and afternoon.,rain,"17530099999,17510099999,17607499999,17550099999,17505099999,17609099999,17515099999,17535099999"
Nicosia,2018-02-26,15.2,9.2,12.2,15.2,9,12.1,8.9,81,0.528,100,12.5,rain,0,0,,17.5,65.5,1008.5,86.7,9.6,161.6,13.9,6,,2018-02-26T06:20:11,2018-02-26T17:39:11,0.37,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"17530099999,LCEN,17510099999,17601099999,17607499999,17500099999,17505099999,17609099999,17515099999,17535099999"
Nicosia,2018-02-27,19.1,8.7,13.1,19.1,8.6,13.1,8.4,75.2,0.347,100,12.5,rain,0,0,,29.3,235.1,1011.9,36.9,9.2,221.1,18.9,8,,2018-02-27T06:18:56,2018-02-27T17:40:05,0.41,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"17530099999,LCEN,17510099999,17607499999,17500099999,17505099999,17609099999,17515099999,17535099999"
Nicosia,2018-02-28,20,5.7,12.3,20,5.5,12.2,6.7,71.9,0,0,0,,0,0,,25.1,24.5,1017.6,36.8,10,221.3,19.2,8,,2018-02-28T06:17:40,2018-02-28T17:41:00,0.44,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"17530099999,17510099999,17607499999,17505099999,17609099999,17515099999,17535099999"
Nicosia,2018-03-01,20.7,7.7,13.9,20.7,6.6,13.9,7.1,66.6,0,0,0,,0,0,57.6,27.8,236.6,1016.5,49.6,10,184.8,15.9,8,,2018-03-01T06:16:23,2018-03-01T17:41:53,0.48,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"17530099999,LCEN,17510099999,17601099999,17607499999,17505099999,17609099999,17515099999,17535099999"
Nicosia,2018-03-02,20.5,8,13.5,20.5,6.5,13.4,6.8,67.5,0,0,0,,0,0,,14.6,109.2,1018,55.2,10,153.8,13.2,6,,2018-03-02T06:15:06,2018-03-02T17:42:47,0.5,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"17530099999,17510099999,17607499999,17505099999,17609099999,17515099999,17535099999"
Nicosia,2018-03-03,21.2,6.2,13.2,21.2,5.9,13.2,7.7,72.7,0.001,100,4.17,rain,0,0,,14.5,46.3,1016,69.6,10,192.6,16.6,7,,2018-03-03T06:13:48,2018-03-03T17:43:40,0.54,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"17530099999,17510099999,17607499999,17505099999,17609099999,17515099999,17535099999"
